名前,ウェブサイト,距離と料理の種類,スローガン,評価,昼間の料金,夜間の料金
アレグロ,https://tabelog.com/tokyo/A1302/A130202/13109255/,日本橋駅 212m / イタリアン、ワインバー、居酒屋,日本橋駅徒歩1分❗️『A5ランク宮崎牛』✖『骨太ワイン』を堪能❗️～120名貸切OK❗️,3.43,"￥1,000～￥1,999","￥6,000～￥7,999"
うすけぼー 昭和通日本橋店,https://tabelog.com/tokyo/A1302/A130202/13051482/,日本橋駅 327m / ダイニングバー、居酒屋、洋食,【宴会コースは全て個別盛り】希少なウィスキー多数ご用意！完全個室多数あります。ご予約承り中,3.28,～￥999,"￥5,000～￥5,999"
全席個室 鮮や一夜  八重洲店,https://tabelog.com/tokyo/A1302/A130202/13028364/,日本橋駅 351m / 居酒屋、海鮮、天ぷら,各種宴会予約受付中！駅徒歩３分！各種宴会コースは4300円～♪最大36名様迄◎個室有！,3.06,-,"￥3,000～￥3,999"
焼鳥 くふ楽 銀座総本店,https://tabelog.com/tokyo/A1302/A130202/13033926/,宝町駅 205m / 焼き鳥、居酒屋、日本酒バー,美味い焼鳥と美味い酒をここ銀座・京橋にて。,3.28,-,"￥6,000～￥7,999"
個室で味わう彩り和食 和が家 東京駅八重洲店,https://tabelog.com/tokyo/A1302/A130202/13166734/,日本橋駅 304m / 居酒屋、焼き鳥、もつ鍋,★本日個室空きあり★東京駅徒歩３分！個室は2〜50名様まで可♪宴会コースは3800円〜♪,3.09,"￥2,000～￥2,999","￥3,000～￥3,999"
鮨とおでん＆ 日本橋室町店,https://tabelog.com/tokyo/A1302/A130202/13306312/,三越前駅 107m / 居酒屋、寿司、おでん,【3/7OPEN!!】本気の鮨とおでんを楽しめる隠れ家居酒屋。自慢の一品を心ゆくまで堪能,3.1,"￥1,000～￥1,999","￥5,000～￥5,999"
貝舞達 八重洲本店,https://tabelog.com/tokyo/A1302/A130202/13289192/,日本橋駅 255m / 居酒屋,【店名通り”貝”に自信あり】厳選食材をお届け◎毎日が新鮮！鮮度抜群の厳選食材！,3.04,"￥3,000～￥3,999","￥4,000～￥4,999"
寿司海路 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13308976/,新日本橋駅 271m / 寿司,新日本橋駅2分■職人が握る江戸前寿司を上質な日本酒と共に。清潔感溢れる和空間で気軽に堪能,3.07,"￥6,000～￥7,999","￥8,000～￥9,999"
完全個室居酒屋 茶屋 日本橋,https://tabelog.com/tokyo/A1302/A130202/13270694/,日本橋駅 188m / 居酒屋、海鮮、焼き鳥,"東京駅3分・日本橋駅1分★大人の為の隠れ家居酒屋★3時間飲み放題×創彩和食⇒4,000円～",3.09,"￥2,000～￥2,999","￥3,000～￥3,999"
和食日和 おさけと 日本橋,https://tabelog.com/tokyo/A1302/A130202/13258001/,日本橋駅 147m / 日本料理、海鮮、居酒屋,【日本橋駅直結】個室/半個室 完備！美味しい和食と日本酒ラバーの集う大人の空間が誕生。,3.29,"￥1,000～￥1,999","￥8,000～￥9,999"
